author_id,author_name
914,Matt Haig
915,Mette Ivie Harrison
916,Francesca Simon
917,Ros Asquith
918,Dave Duncan
919,Elizabeth Kay
920,Gregory Frost
921,Cosgrove
922,Morgan Llywelyn
923,Robert N. Charrette
924,Bill Brittain
925,Pauline Fisk
926,Mark McLelland
927,Kazumi Nagaike
928,Katsuhiko Suganuma
929,James Welker
930,Maria V. Snyder
931,Steve Perry
932,Stephani Perry
933,Eric Shanower
934,A. A. Gray
935,Colleen Oakes
936,Nnedi Okorafor
937,Sherryl Jordan
938,Amy Alward
939,Nicholas Stuart Gray
940,Karen Chance
941,Faith Hunter
942,Caitlin Kittredge
943,Jenna Maclaine
944,Frederic Thomas
945,Bernard Segal
946,Kaleb Nation
947,Judith Byron Schachner
948,Gaku Miyao
949,Alan Campbell
950,Dennis Danvers
951,Jesse Bullington
952,Andrew M. Greeley
953,Drew Karpyshyn
954,Karen White
955,Christa Lewis
956,Mike Thaler
957,Gregory Benford
958,William Rotsler
959,Adelaide Bry
960,Janice Hardy
961,Adrian Selby
962,James Nicol
963,Laura Ruby
964,Emiko Jean
965,Inbali Iserles
966,Onk Beakman
967,Vamik D. Volkan
968,Gabriele Ast
969,Michael Gunter
970,Samy Teicher
971,Delia Sherman
972,Steven Millhauser
973,Amy Ewing
974,Snyder
975,Richard Pini
976,Delfin Barral
977,Hilari Bell
978,Scarlett St. Clair
979,Ethel Spector Person
980,Peter Fonagy
981,Sérvulo A. Figueira
982,Cynthia Voigt
983,Charity Blackstock
984,Chuck Kelly
985,Theodore Sturgeon
986,Lyn Gardner
987,Salamandra Drake
988,Frank Beddor
989,Niel Hancock
990,Monica Hughes
991,Deborah Lerme Goodman
992,Suzy McKee Charnas
993,Matt Forbeck
994,Jeff Grubb
995,C. S. Friedman
996,Gillian Rubinstein
997,James L. Barry
998,Emily Hainsworth
999,Andy Shepherd
1000,Dhonielle Clayton
1001,Chris D'Lacey
1002,Tui T. Sutherland
1003,Julie Edwards
1004,Paul Herman
1005,James Reasoner
1006,Chelsea Abdullah
1007,Paul Jennings
1008,Jonathan Emmett
1009,Joanne Ryder
1010,Ursula Jones
1011,Laura Driscoll
1012,Katie MacAlister
1013,Madeline Howard
1014,Marcus Pelegrimas
1015,J. Moussaieff Masson
1016,Fiona McIntosh
1017,Christopher Moore
1018,Kalynn Bayron
1019,Paz Pruneda Gozálvez
1020,Adam Beechen
1021,Paul D. Storrie
1022,Carlos Barberi
1023,Bryan J. Glass
1024,Hugo Petrus
1025,Tim Lebbon
1026,Elizabeth Jane Coatsworth
1027,Mary Virginia Gaver
1028,Walter R. Brooks
1029,Eleanor Hoffmann
1030,John Ruskin
1031,William Pène Du Bois
1032,Mary V. Gaver
1033,Mary Virginia 1906-1991 Gaver
1034,Kit Pearson
1035,Margery Sharp
1036,Rona Jaffe
1037,Richard Ford
1038,Owain Bell
1039,Ellen Schreiber
1040,Liz Kessler
1041,Geraldine Harris
1042,Brian Ruckley
1043,Ryo Takamisaki
1044,Tomohiro Chiba
1045,Hajime Yatate
1046,Patrice Michelle
1047,Mem Fox
1048,Dia Calhoun
1049,L. Rifkin
1050,Nell Gavin
1051,Robert Kirkman
1052,Cory Walker
1053,Ryan Ottley
1054,Bill Crabtree
1055,Patrick Nielsen Hayden
1056,Ellen Kushner
1057,Susan Palwick
1058,Debra Doyle
1059,James D. MacDonald
1060,Charles de Lint
1061,Sherwood Smith
1062,Emma Bull
1063,Charles Waugh
1064,Martin Harry Greenberg
1065,James Moloney
1066,Kate Constable
1067,Eiichiro Oda
1068,Bill Watterson
1069,A. S. Neill
1070,Laura Hickman
1071,Lorna Landvik
1072,Nikki St. Crowe
1073,Helen Cresswell
1074,Tom Birdseye
1075,Freya Marske
1076,Jane Carruth
1077,Tedd Anasti
1078,Patsy Cameron-Anasti
1079,Stephen D. Sullivan
1080,Mindy L. Klasky
1081,Fiona Avery
1082,Mark Brooks
1083,Roger Cruz
1084,Francis Portela
1085,Rosemary Kirstein
1086,Julie Kenner
1087,Armin Shimerman
1088,David R. George III
1089,David George
1090,Darren Shan
1091,Bill Myers
1092,Lisa Tuttle
1093,Nancy Holder
1094,Jeff Mariotte
1095,Maryelizabeth Hart
1096,Sarah L. Thomson
1097,John Meaney
1098,Rachel Roberts
1099,Brad Strickland
1100,Belinda Hurmence
1101,Roger Taylor
1102,Beverly Sassoon
1103,Balogh
1104,Thomas Baron Balogh
1105,Jennifer Skully
1106,Cassandra Campbell
1107,Nahoko Uehashi
1108,Cathy Hirano
1109,Sam Munson
1110,Julie C. Dao
1111,Scheherezade Surià
1112,Cherry Wilder
1113,Paula L. Ellman
1114,Nancy R. Goodman
1115,Fred Busch
1116,Chin-sŏk Chŏn
1117,Jin-Seok Jeon
1118,Seung-Hee Han
1119,Meagan Spooner
1120,Maria Turtschaninoff
1121,Robert L. Anderson
1122,Rosine Jozef Perelberg
1123,Erin Bowman
1124,J. M. G. Le Clézio
1125,Henri Galeron
1126,Charles G. Waugh
1127,Roman Rosenbaum
1128,Elise Primavera
1129,Karen Mahoney
1130,Brian Benabo
1131,Kurt Busiek
1132,Len Wein
1133,Kelley Jones
1134,Karen Miller
1135,Anne Barrett
1136,John Vornholt
1137,Stephen Deas
1138,Linsey Miller
1139,Francesca Haig
1140,January Lavoy
1141,Margaret Laurence
1142,J. Scott Savage
1143,D. A. Nelson
1144,Eloise Greenfield
1145,James Clemens
1146,Catherynne M. Valente
1147,Philippa Dowding
1148,Todd Fahnestock
1149,Jackie French Koller
1150,April Genevieve Tucholke
1151,Kayla Olson
1152,Alwyn Hamilton
1153,Joshua Khan
1154,Peter Bently
1155,Laurie Forest
1156,Anees A. Sheikh
1157,Jerome L. Singer
1158,Adam Kline
1159,Brian Falkner
1160,Victor D. LaValle
1161,C. J. Redwine
1162,Franny Billingsley
1163,Vanessa Len
1164,Victoria Lee
1165,T. L. Huchu
1166,Charul Palmer-Patel
1167,Sean Fitzpatrick
1168,Matthew Skelton
1169,Berlie Doherty
1170,Lin Carter
1171,Mary Jane Auch
1172,Irene Radford
1173,Dorothy Haas
1174,Lesley Sims
1175,Mauro Evangelista
1176,Elio Garcia
1177,Linda Antonsson
1178,Michael A. Stackpole
1179,William F. Wu
1180,Mathieu Mariolle
1181,Susan Fletcher
1182,Theo Lawrence
1183,Foz Meadows
1184,Stanisław Lem
1185,Franz Rottensteiner
1186,Ann VanderMeer
1187,Kieran Larwood
1188,James Logan
1189,Carole Wilkinson
1190,Vivian French
1191,Lillian Diaz-Przybyl
1192,Dan Jolley
1193,Aprilynne Pike
1194,Lisa Maxwell
1195,Lesley Livingston
1196,Richard Swan
1197,Alexandra Rowland
1198,Kayla Fell
1199,James Gould Cozzens
1200,David Baldwin
1201,David A. Baldwin
1202,Francesca Lia Block
1203,Phyllis Eisenstein
1204,TJ Klune
1205,Jack Cole
1206,Seymour Fisher
1207,Meg Shaffer
1208,Sharon Shinn
1209,Robert Anton Wilson
1210,John Myers
1211,Richard Bach
1212,David G. Hartwell
1213,Kathryn Cramer
1214,John M. Ford
1215,Suzette Haden Elgin
1216,Osbert Stiwell
1217,Johannes Bobrowski
1218,Rudy Rucker
1219,Avram Davidson
1220,Jack Finney
1221,Margaret St. Clair
1222,Murilo Rbiao
1223,Harlan Ellison
1224,Isaac Bashevis Singer
1225,Peter Beagle
1226,J. G. Ballard
1227,R. A. Lafferty
1228,James Tiptree
1229,Jr.
1230,E. T. A. Hoffmann
1231,Graham Greene
1232,Elaine Isaak
1233,Misaho Kujiradou
1234,Courtney Love
1235,D.j. Milky
1236,Peter Morwood
1237,J. Varendonck
1238,Jahnna N. Malcolm
1239,Stephen Parlato
1240,K. C. May
1241,Roman Dirge
1242,Robert M. Philmus
1243,James Lowder
1244,Theresa Breslin
1245,Sarah Monette
1246,Ed Greenwood
1247,Phaedra Weldon
1248,Yashichiro Takahashi
1249,Noizi Ito
1250,Rod Espinosa
1251,Joshua Palmatier
1252,Sam Enthoven
1253,Edith Pattou
1254,Catherine Banner
1255,Rachel Neumeier
1256,Mahtab Narsimhan
